ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
20-1-59,,20,1,téŋgéŋ kání,téŋgéŋ kání,t e ⁵ ŋ ɡ e ⁵ ŋ _ k a ⁵ n i ⁵,,Heath2015,,
10-1-64,,10,1,kúwɔ́ tégé,kúwɔ́ tégé,k u ⁵ w ɔ ⁵ _ t e ⁵ ɡ e ⁵,,Heath2015,,
21-1-57,,21,1,sísíbá,sísíbá,s i ⁵ s i ⁵ b a ⁵,,Heath2005,,
22-1-57,,22,1,símbárú,símbárú,s i ⁵ m b a ⁵ r u ⁵,,HeathSONG2015,,
11-1-64,,11,1,tégé,tégé,t e ⁵ ɡ e ⁵,,Heath2015,,
12-1-64,,12,1,tíŋgó,tíŋgó,t i ⁵ ŋ ɡ o ⁵,,Heath2015,,
13-1-61,,13,1,kúwɔ́ tégé,kúwɔ́ tégé,k u ⁵ w ɔ ⁵ _ t e ⁵ ɡ e ⁵,,Heath2015,,
14-1-65,,14,1,ánú tégé,ánú tégé,a ⁵ n u ⁵ _ t e ⁵ ɡ e ⁵,,Heath2015,,
15-1-64,,15,1,tíŋúnò tíŋúnú,tíŋúnò tíŋúnú,t i ⁵ ŋ u ⁵ n o ¹ _ t i ⁵ ŋ u ⁵ n u ⁵,,Heath2015,,
16-1-63,,16,1,tégé,tégé,t e ⁵ ɡ e ⁵,,Heath2015,,
17-1-63,,17,1,tégé,tégé,t e ⁵ ɡ e ⁵,,Heath2015,,
2-1-49,,2,1,jàrá,jàrá,dʒ a ¹ r a ⁵,,Dumestre2011,,
1-1-66,,1,1,kìyɛ̀,kìyɛ̀,k i ¹ j ɛ ¹,,Hantgan2016,,
3-1-64,,3,1,dùŋgú-m,dùŋgú-m,d u ¹ ŋ ɡ u ⁵ + m,,Heath2015,,
4-1-61,,4,1,tà dùŋgú-m,tà dùŋgú-m,t a ¹ _ d u ¹ ŋ ɡ u ⁵ + m,,Heath2015,,
5-1-63,,5,1,námbálà,námbálà,n a ⁵ m b a ⁵ l a ¹,,Heath2015,,
18-1-61,,18,1,rawaandu ladde,rawaandu ladde,r a w a a n d u _ l a d d e,,Osborn1993,,
6-1-66,,6,1,dùŋ yàrá,dùŋ yàrá,d u ¹ ŋ _ j a ¹ r a ⁵,,Heath2015,,
19-1-52,,19,1,wārbà,wārbà,w a ³ r b a ¹,,Heath2016jenaama,,
7-1-62,,7,1,yárà,yárà,j a ⁵ r a ¹,,Heath2015,,
8-1-63,,8,1,yàrá,yàrá,j a ¹ r a ⁵,,Heath2015,,
9-1-66,,9,1,yàrá,yàrá,j a ¹ r a ⁵,,Heath2015,,
20-1-60,,20,1,nà:m bàlà,nà:m bàlà,n aː ¹ m _ b a ¹ l a ¹,,Heath2015,,
10-1-65,,10,1,dùŋ yàrá,dùŋ yàrá,d u ¹ ŋ _ j a ¹ r a ⁵,,Heath2015,,
21-1-58,,21,1,gún,gún,ɡ u ⁵ n,,Heath2005,,
22-1-58,,22,1,gànjì hày,gànjì hày,ɡ a ¹ n dʒ i ¹ _ h a ¹ j,,HeathSONG2015,,
11-1-65,,11,1,dùŋ yàrá,dùŋ yàrá,d u ¹ ŋ _ j a ¹ r a ⁵,,Heath2015,,
12-1-65,,12,1,dúŋgá,dúŋgá,d u ⁵ ŋ ɡ a ⁵,,Heath2015,,
13-1-62,,13,1,yàrá,yàrá,j a ¹ r a ⁵,,Heath2015,,
15-1-65,,15,1,ǒw ànú,ǒw ànú,o ¹⁵ w _ a ¹ n u ⁵,,Heath2015,,
16-1-64,,16,1,dùŋ yàrà,dùŋ yàrà,d u ¹ ŋ _ j a ¹ r a ¹,,Heath2015,,
17-1-64,,17,1,yàrá,yàrá,j a ¹ r a ⁵,,Heath2015,,
2-1-50,,2,1,lájɛ́,lájɛ́,l a ⁵ dʒ ɛ ⁵,,Dumestre2011,,
1-1-67,,1,1,sùràà,sùràà,s u ¹ r aː ¹,,Hantgan2016,,
3-1-65,,3,1,tíní,tíní,t i ⁵ n i ⁵,,Heath2015,,
4-1-62,,4,1,tíní,tíní,t i ⁵ n i ⁵,,Heath2015,,
5-1-64,,5,1,té:jè,té:jè,t eː ⁵ dʒ e ¹,,Heath2015,,
18-1-62,,18,1,ʄeewu-de,ʄeewu-de,ʄ e e w u + d e,,Osborn1993,,
6-1-67,,6,1,yàŋá,yàŋá,j a ¹ ŋ a ⁵,,Heath2015,,
19-1-53,,19,1,tɔ̀ŋɔ̀,tɔ̀ŋɔ̀,t ɔ ¹ ŋ ɔ ¹,,Heath2016jenaama,,
7-1-63,,7,1,mályê:,mályê:,m a ⁵ l j eː ⁵¹,,Heath2015,,
8-1-64,,8,1,tár,tár,t a ⁵ r,,Heath2015,,
9-1-67,,9,1,ŋìrⁿɛ́,ŋìrⁿɛ́,ŋ i ¹ r̃ ∼ ɛ ⁵,,Heath2015,,
20-1-61,,20,1,sé:mì,sé:mì,s eː ⁵ m i ¹,,Heath2015,,
10-1-66,,10,1,yɛ̀lɛ́,yɛ̀lɛ́,j ɛ ¹ l ɛ ⁵,,Heath2015,,
21-1-59,,21,1,gùná,gùná,ɡ u ¹ n a ⁵,,Heath2005,,
22-1-59,,22,1,gùnà,gùnà,ɡ u ¹ n a ¹,,HeathSONG2015,,
11-1-66,,11,1,jɛ̀rí,jɛ̀rí,dʒ ɛ ¹ r i ⁵,,Heath2015,,
12-1-66,,12,1,já:ló,já:ló,dʒ aː ⁵ l o ⁵,,Heath2015,,
13-1-63,,13,1,gɛ̀r-î:,gɛ̀r-î:,ɡ ɛ ¹ r + iː ⁵¹,,Heath2015,,
14-1-66,,14,1,yɛ̀-ndɛ́,yɛ̀-ndɛ́,j ɛ ¹ + n d ɛ ⁵,,Heath2015,,
15-1-66,,15,1,ɛ̀lú,ɛ̀lú,ɛ ¹ l u ⁵,,Heath2015,,
16-1-65,,16,1,tígɛ́,tígɛ́,t i ⁵ ɡ ɛ ⁵,,Heath2015,,
17-1-65,,17,1,yɛ̀nɛ́,yɛ̀nɛ́,j ɛ ¹ n ɛ ⁵,,Heath2015,,
2-1-51,,2,1,ɲíní,ɲíní,ɲ i ⁵ n i ⁵,,Dumestre2011,,
1-1-68,,1,1,kùmbò-rò,kùmbò-rò,k u ¹ m b o ¹ + r o ¹,,Hantgan2016,,
3-1-66,,3,1,zɔ̀rɔ́,zɔ̀rɔ́,z ɔ ¹ r ɔ ⁵,,Heath2015,,
4-1-63,,4,1,jɔ̀rɔ́,jɔ̀rɔ́,dʒ ɔ ¹ r ɔ ⁵,,Heath2015,,
5-1-65,,5,1,tégólè,tégólè,t e ⁵ ɡ o ⁵ l e ¹,,Heath2015,,
18-1-63,,18,1,tewtu-de,tewtu-de,t e w t u + d e,,Osborn1993,,
6-1-68,,6,1,lúgúrú,lúgúrú,l u ⁵ ɡ u ⁵ r u ⁵,,Heath2015,,
19-1-54,,19,1,mà,mà,m a ¹,,Heath2016jenaama,,
7-1-64,,7,1,yɔ́lɛ́,yɔ́lɛ́,j ɔ ⁵ l ɛ ⁵,,Heath2015,,
8-1-65,,8,1,dùndɛ́,dùndɛ́,d u ¹ n d ɛ ⁵,,Heath2015,,
9-1-68,,9,1,jɔ̀rɔ́,jɔ̀rɔ́,dʒ ɔ ¹ r ɔ ⁵,,Heath2015,,
20-1-62,,20,1,dúndɛ́,dúndɛ́,d u ⁵ n d ɛ ⁵,,Heath2015,,
10-1-67,,10,1,lúgú-rú,lúgú-rú,l u ⁵ ɡ u ⁵ + r u ⁵,,Heath2015,,
22-1-60,,22,1,lárwê,lárwê,l a ⁵ r w e ⁵¹,,HeathSONG2015,,
21-1-60,,21,1,wúrí-rí,wúrí-rí,w u ⁵ r i ⁵ + r i ⁵,,Heath2005,,
11-1-67,,11,1,zɔ̌:,zɔ̌:,z ɔː ¹⁵,,Heath2015,,
12-1-67,,12,1,yɔ́lɔ́,yɔ́lɔ́,j ɔ ⁵ l ɔ ⁵,,Heath2015,,
13-1-64,,13,1,dɛ́n,dɛ́n,d ɛ ⁵ n,,Heath2015,,
14-1-67,,14,1,dɛ̀nnɛ́,dɛ̀nnɛ́,d ɛ ¹ n n ɛ ⁵,,Heath2015,,
15-1-67,,15,1,yⁿǒm,yⁿǒm,j ∼ o ¹⁵ m,,Heath2015,,
16-1-66,,16,1,dùnó,dùnó,d u ¹ n o ⁵,,Heath2015,,
17-1-66,,17,1,dɛ̀nɛ́,dɛ̀nɛ́,d ɛ ¹ n ɛ ⁵,,Heath2015,,
1-1-69,,1,1,sɛ̀mà,sɛ̀mà,s ɛ ¹ m a ¹,,Hantgan2016,,
3-1-67,,3,1,tó:rⁿú-m,tó:rⁿú-m,t oː ⁵ r̃ ∼ u ⁵ + m,,Heath2015,,
4-1-64,,4,1,kɔ̀tɔ̀ kɔ᷈:-m,kɔ̀tɔ̀ kɔ᷈:-m,k ɔ ¹ t ɔ ¹ _ k ɔː ¹⁵¹ + m,,Heath2015,,
5-1-66,,5,1,sɛ́mɔ̀,sɛ́mɔ̀,s ɛ ⁵ m ɔ ¹,,Heath2015,,
18-1-64,,18,1,temba,temba,t e m b a,,Osborn1993,,
6-1-69,,6,1,kàrùm-kǎ:,kàrùm-kǎ:,k a ¹ r u ¹ m + k aː ¹⁵,,Heath2015,,
19-1-55,,19,1,sɔ̀mɔ̀,sɔ̀mɔ̀,s ɔ ¹ m ɔ ¹,,Heath2016jenaama,,
7-1-65,,7,1,sɛ́mɛ̀,sɛ́mɛ̀,s ɛ ⁵ m ɛ ¹,,Heath2015,,
8-1-66,,8,1,nígíjí,nígíjí,n i ⁵ ɡ i ⁵ dʒ i ⁵,,Heath2015,,
9-1-69,,9,1,kɔ̀rɔ̀ŋ kɔ᷈:,kɔ̀rɔ̀ŋ kɔ᷈:,k ɔ ¹ r ɔ ¹ ŋ _ k ɔː,,Heath2015,,
20-1-63,,20,1,sɛ̀mɛ̀,sɛ̀mɛ̀,s ɛ ¹ m ɛ ¹,,Heath2015,,
10-1-68,,10,1,kɔ̀rɔ̀m kɔ̌:,kɔ̀rɔ̀m kɔ̌:,k ɔ ¹ r ɔ ¹ m _ k ɔː ¹⁵,,Heath2015,,
21-1-61,,21,1,gá:ní,gá:ní,ɡ aː ⁵ n i ⁵,,Heath2005,,
22-1-61,,22,1,gán ó,gán ó,ɡ a ⁵ n _ o ⁵,,HeathSONG2015,,
