PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGID
Bangime:1	0	1	0	0	0	227	10 19 29 40 44 49 67 82 101 116 134 136 155 161 174 179 195 209 222 231 244 255 261 286 294 308 316 333 340 347 373 392 404 410 438 457 468 492 500 509 520 527 550 573 580 597 614 619 639 650 661 671 681 689 700 704 710 722 742 748 765 774 780 787 803 810 823 835 846 861 888 893 905 908 921 923 941 964 982 998 1002 1007 1023 1030 1051 1054 1067 1075 1087 1096 1115 1122 1127 1145 1149 1173 1182 1192 1202 1209 1238 1252 1267 1291 1304 1317 1332 1359 1370 1390 1394 1412 1429 1438 1452 1467 1478 1490 1495 1516 1527 1565 1569 1587 1603 1617 1628 1636 1648 1660 1664 1671 1687 1696 1706 1721 1728 1745 1759 1767 1777 1787 1792 1804 1817 1828 1846 1852 1860 1878 1895 1919 1933 1936 1945 1956 1965 1981 1996 2010 2014 2028 2044 2059 2067 2088 2103 2112 2127 2137 2147 2151 2158 2174 2197 2203 2212 2239 2243 2257 2270 2284 2297 2307 2318 2340 2351 2367 2372 2395 2405 2426 2438 2457 2468 2503 2510 2525 2538 2550 2569 2579 2624 2641 2651 2660 2676 2683 2704 2710 2720 2733 2739 2752 2772 2797 2801 2822 2839 2845 2864 2873 2876 2888 2901 2910 2914	!GUEST OR STRANGER, AGE, ANIMAL, ANSWER, ARMPIT, ARRIVE, BACK, BAD, BARK, BEAUTIFUL, BEGIN, BELLY, BESIDE, BETRAY, BIG, BIRD, BITE, BLACKSMITH, BLANKET, BLINK, BLOOD, BODY, BONE, BREAST, BREATHE, BROOM, BUILD, BURN (SOMETHING), BURY, BUY, CARVE, CAT, CAVE, CHEEK, CHICKEN, CHILD, CHIN, COLD, COME, COME BACK, COTTON, COUNT, CRY, DEW, DIE, DISEASE, DIVIDE, DOG, DONKEY, DOOR, DOVE, DRINK, DRIP (FALL IN GLOBULES), DRY, DUST, EAR, EAT, EGG, ELBOW, ELEPHANT, EMPTY, ENTER, EYE, FACE, FALL, FAR, FAST, FAT (OBESE), FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FINGER, FIRE, FIREWOOD, FISH, FIVE, FLOWER, FLY (INSECT), FOLD, FOOD, FOOT OR LEG, FOREHEAD, FORGET, FOUR, FRIEND, FULL, GET, GIVE, GIVE BIRTH, GO, GO OUT, GO UP (ASCEND), GOAT, GOD, GOOD, GRANDFATHER, HAIR, HAND, HANG UP, HEAD, HEAVY, HIP, HONEY, HORSE, HOT, HUNT, HUSBAND, IRON, KILL, KNEE, KNIFE, LADDER, LEAF, LEAVE, LICK, LIE DOWN, LIFT, LIGHT (WEIGHT), LIMP, LION, LOOK, LOOK FOR, MAN, MARKET, MAT, MEAL, MEDICINE, MILK, MILLET, MONEY, MOON, MOSQUE, MOTHER, MOUSE, MOUTH, NAME, NEAR, NECK, NIGHT, NINE, NOBLE, NOSE, NOW, NURSE, OLD, ONION, OPEN, ORPHAN, PATH OR ROAD, PENIS, PERSON, PESTLE, PISS, PLACE (POSITION), POCKET, PRICE, PULL, PUMPKIN, RAIN (PRECIPITATION), RED, RIB, RIGHT, RIVER, ROOT, ROTTEN, ROUGH, SALT, SAND, SAY, SCALE, SEE, SELL, SEND, SEVEN, SEW, SHEEP, SHIT (DEFECATE), SHOE, SICKLE OR SCYTHE, SIMILAR, SING, SIT, SKIN, SKY, SLEEP, SLIP, SMOKE, SMOOTH, SNAKE, SOAP, SPEAR, SPIN, SPIT, SPRING OR WELL, STEAL, STOMACH, SUN, SWEEP, SWEET, SWIM, TAIL, TEN, THIGH, THROAT, THROW, TIE, TOMORROW, TONGUE, TOOTH, TRAP (PITFALL), TRAVERSE, TREE, TWENTY, TWO, URINE, VILLAGE, WATER, WEAVE, WET, WIFE, WIND, WING, WOMAN, WOOD, WORLD, WRAPPER, YEAR, YELLOW
Dogon:5 Mande:1	0	0	5	1	0	5	386 1044 1340 1492 2090	CAT, FULL, JAW, LION, SAND
Atlantic:1	1	0	0	0	0	265	9 20 31 46 54 68 81 99 112 118 131 137 153 167 187 192 201 207 220 232 243 250 259 272 285 293 306 317 332 339 346 353 364 381 393 402 412 428 437 456 467 473 491 502 510 530 538 544 553 567 578 587 594 613 621 634 644 659 670 679 686 699 705 716 723 731 743 747 769 776 783 788 801 809 822 834 840 851 857 866 880 887 897 902 909 917 924 937 948 960 966 978 990 1013 1017 1040 1050 1061 1069 1079 1088 1092 1098 1106 1120 1131 1139 1150 1167 1172 1181 1190 1197 1211 1216 1251 1259 1266 1289 1316 1327 1345 1354 1369 1376 1384 1395 1406 1413 1422 1440 1453 1459 1470 1487 1501 1507 1526 1534 1544 1548 1570 1580 1591 1601 1608 1616 1626 1634 1646 1658 1672 1688 1695 1711 1718 1727 1735 1739 1758 1778 1786 1795 1811 1830 1845 1855 1859 1873 1896 1902 1918 1932 1937 1946 1955 1969 1982 1995 2007 2016 2035 2054 2060 2070 2075 2084 2101 2111 2125 2136 2143 2159 2173 2179 2189 2202 2211 2219 2230 2237 2251 2256 2271 2277 2283 2295 2302 2308 2320 2327 2349 2366 2371 2384 2394 2413 2424 2441 2452 2458 2488 2500 2507 2517 2527 2541 2548 2561 2570 2577 2585 2591 2599 2632 2642 2646 2659 2671 2678 2682 2695 2705 2712 2723 2731 2741 2751 2763 2771 2788 2798 2804 2811 2821 2832 2837 2846 2858 2872 2877 2884 2898 2906 2920	!GUEST OR STRANGER, AGE, ANIMAL, ARMPIT, ARRIVE, BACK, BAD, BARK, BEARD, BEAUTIFUL, BEGIN, BELLY, BESIDE, BIG, BIRD, BITE, BITTER, BLACKSMITH, BLANKET, BLINK, BLOOD, BODY, BONE, BREAKFAST, BREAST, BREATHE, BROOM, BUILD, BURN (SOMETHING), BURY, BUY, CALL, CAMEL, CARVE, CAT, CAVE, CHEEK, CHEST, CHICKEN, CHILD, CHIN, CLOUD, COLD, COME, COME BACK, COUNT, COUNTRY, COW, CRY, DEW, DIE, DIG, DISEASE, DIVIDE, DOG, DONKEY, DOOR, DOVE, DRINK, DRIP (FALL IN GLOBULES), DRY, DUST, EAR, EAT, EGG, EIGHT, ELBOW, ELEPHANT, EMPTY, ENTER, EYE, FACE, FALL, FAR, FAST, FAT (OBESE), FAT (ORGANIC SUBSTANCE), FATHER, FEAR (BE AFRAID), FIGHT, FIND, FINGER, FIRE, FIREWOOD, FISH, FIVE, FLOWER, FLY (INSECT), FLY (MOVE THROUGH AIR), FOAM, FOLD, FOOD, FOOT OR LEG, FORGET, FORGIVE, FRIEND, FULL, GET, GIVE, GIVE BIRTH, GO, GO DOWN (DESCEND), GO OUT, GO UP (ASCEND), GOAT, GOD, GOOD, GRANDFATHER, GRASS, HAIR, HAND, HANG UP, HEAD, HEAVY, HELP, HONEY, HORN (ANATOMY), HORSE, HOT, HUSBAND, INJURE, JAW, JOINT, KNEE, KNEEL, KNIFE, LADDER, LAUGH, LEAF, LEAVE, LICK, LIE DOWN, LIFT, LIGHT (WEIGHT), LIMP, LION, LOOK, LOOK FOR, LOUSE, LUNG, MAIZE, MARKET, MARROW, MAT, MEAL, MEAT, MEDICINE, MILK, MILLET, MONEY, MOON, MOTHER, MOUSE, MOUTH, NAME, NEAR, NECK, NEW, NIGHT, NINE, NOSE, NOW, NURSE, ONE, OPEN, ORPHAN, PATH OR ROAD, PENIS, PERSON, PESTLE, PICK, PISS, PLACE (POSITION), POCKET, PRICE, PULL, PUSH, RAIN (PRECIPITATION), RED, RIB, RIGHT, ROOF, ROOT, ROTTEN, ROUGH, RUN, SALT, SAND, SAY, SCALE, SEE, SELL, SEVEN, SEW, SHARP, SHEEP, SHIT (DEFECATE), SHOE, SHORT, SHOW, SICKLE OR SCYTHE, SIMILAR, SING, SIT, SIX, SKIN, SKY, SLAVE, SLEEP, SLIP, SMALL, SMOOTH, SNAKE, SOAP, SONG, SPEAR, SPIRIT, SPIT, SPRING OR WELL, STAR, STEAL, SUCK, SUN, SWALLOW, SWEEP, SWEET, SWIM, TAIL, TALK, TEN, TESTICLES, THIGH, THING, THINK, THROAT, THROW, TIE, TOMORROW, TONGS, TONGUE, TOOTH, TOUCH, TRAP (PITFALL), TRAVERSE, TREE, TWENTY, TWO, URINE, VAGINA, VILLAGE, WALL (OF HOUSE), WATER, WEAVE, WEEK, WET, WHITE, WIFE, WIND, WING, WOMAN, WOOD, WORK (LABOUR), WRAPPER, YEAR, YELLOW
Atlantic:1 Bangime:1 Dogon:16	1	1	16	0	0	1	2617	THREE
Dogon:8	0	0	8	0	0	20	21 33 358 627 1072 1146 1174 1203 1329 1545 1637 1723 1774 1775 1910 1972 2022 2104 2519 2652	ANIMAL, ANSWER, CAMEL, DONKEY, GIVE BIRTH, GRANDFATHER, HAND, HEAVY, IRON, MAIZE, MONEY, NECK, NOSE, NOSE, PISS, RAIN (PRECIPITATION), RIVER, SAY, SWEET, TOMORROW
Atlantic:1 Dogon:13 Mande:1	1	0	13	1	0	1	2885	WORLD
Atlantic:1 Dogon:12 Songhai:2	1	0	12	0	2	1	440	CHIEFTAIN
Atlantic:1 Dogon:8 Mande:2 Songhai:1	1	0	8	2	1	1	1662	MOSQUE
Bangime:1 Dogon:14	0	1	14	0	0	4	1089 1350 1966 2227	GO DOWN (DESCEND), JOINT, PUSH, SHOW
Dogon:7 Songhai:1	0	0	7	0	1	1	1103	GO UP (ASCEND)
